"","Gene","KO.mean","WT.mean","FC","p.value"
"1","Gm8210",28.6455907561469,0.448524573528804,63.8662683089475,0.000604451200435234
"2","Gm13841",92.2997991729543,3.48300556677492,26.5000435409637,0.00208472361797698
"3","Tma7-ps",6.86779432921761,0.403803829404373,17.0077493800589,0.0059916312883409
"4","Batf3",3.31403350669873,0.412916685626475,8.0259132703022,0.00331942939419482
"5","Tmprss13",6.11214485701706,0.859007555521957,7.11535634084516,0.000617095642416757
"6","Kcnip3",1.15501193459934,0.211939174253278,5.44973310700475,0.00421304720367192
"7","Aldh2",7.45933167127201,1.59534395466843,4.67568868107965,0.000236214454189496
"8","Rps19-ps4",7.41320119006559,1.61076110826985,4.60229710787359,0.00198175630790063
"9","Xcl1",17.1229873033038,4.1950462046286,4.08171602124697,0.00510258693431257
"10","Vwa5a",6.75302736289431,1.73494685990991,3.89235400745644,4.1626619037684e-06
"11","Xlr",2.61141425967972,0.685958212210219,3.80695822747789,0.00716092595918144
"12","Capn11",6.01426247686029,1.63501756405224,3.67840848263092,0.00193231468386355
"13","Ccl3",30.9849566884833,9.01753386069851,3.43607877354654,6.45323481344105e-06
"14","Cd300lf",1.15539457448729,0.36920498450352,3.12941217746824,0.00419440867425774
"15","Izumo1r",17.9336218903653,5.78991053486731,3.09739188237323,0.00528534908091237
"16","Capn3",4.83693846388354,1.56166989186887,3.09728610961124,0.00010277742309092
"17","Fkbp10",2.36883847918,0.777488051643386,3.04678441575142,0.00674133032263892
"18","Col6a4",0.60662288448511,0.200853997157017,3.02021813392584,0.000235851363756923
"19","Serpina3g",39.9996108780282,13.9828786527267,2.86061345960605,0.00103120094481539
"20","Slc16a5",6.0953567401855,2.15262881327547,2.8315874537193,0.000579596245076013
"21","Klre1",11.2085474990682,4.04539240166574,2.77069475249249,0.00740541416712656
"22","S1pr5",80.554279535657,29.9693842273322,2.68788570778145,0.000545617983832759
"23","Hdac11",1.19203358251501,0.44448548158618,2.68182793791407,0.0057825884690245
"24","Fnbp1l",0.644298346410199,0.242258967456665,2.65954384753765,0.00203377751431923
"25","Klk1b27",0.711115579020524,0.268536842600186,2.64811179030386,0.00607501230047473
"26","Lilr4b",32.0637037583208,12.2200679269519,2.62385642616625,0.000355697749906228
"27","Cxcr5",3.89369418851975,1.53848132501689,2.53086867237533,0.00467637696296882
"28","Samd3",26.4765167825147,10.5433654184605,2.51120166395416,0.000649347001677302
"29","Lilrb4a",16.8321689001274,6.73226429890676,2.50022401866497,0.000339414190589127
"30","Chst2",10.0571393629368,4.1347068593584,2.43237058999084,0.000337520262568827
"31","Ubash3b",16.7686049084366,7.17033783996852,2.33860736867459,7.43126630539533e-06
"32","Aicda",0.854709662431177,0.366768013610058,2.33038223267716,0.000190926070427746
"33","Lrrk1",15.89528955994,6.83793174631135,2.32457563919302,0.000705961467522112
"34","Metrnl",1.82067618995875,0.783266573519069,2.32446557980739,0.00655379288014695
"35","Gm10688",1.09661281218774,0.47229245155903,2.32189358218164,0.00448053388652456
"36","Cpne4",0.466814043882652,0.20193281393338,2.3117295044314,6.36089548883091e-08
"37","Dapl1",21.0598630053347,9.3865486041671,2.24362157949998,0.00139369811397305
"38","Zeb2",18.0914270480841,8.11722434626057,2.22877011603337,0.00322457350931342
"39","Klrb1f",11.8539911515408,5.35096363102851,2.21530026532105,0.000222019750188314
"40","4833419F23Rik",0.806465691213302,0.364862423740073,2.21032816409679,0.00046638392804425
"41","P3h4",2.06964563498848,0.948701865957281,2.1815553539574,0.000465466974548415
"42","Zfp69",4.29900671497955,2.00016556801761,2.14932542771464,0.0023541997440432
"43","Asap2",3.83974466644394,1.7990627502531,2.13430280066871,0.00483228223142125
"44","P2rx7",3.32299165759946,1.56238705748178,2.12686839774222,0.00918925741328371
"45","Chn2",2.20101616160415,1.03656949859488,2.12336574111792,0.000153587318628042
"46","Cela1",4.62148292638336,2.17728194369392,2.12259277663538,0.00158385691756965
"47","Pth1r",0.47056879225992,0.223460732512771,2.10582318856861,0.000936412579490022
"48","Gbp10",5.80211292992394,2.76875067547939,2.09557075012518,0.00984533046959265
"49","Myb",37.1505773500002,17.8012343164343,2.08696636927599,0.00661463239877917
"50","Tsga10",1.87259654989179,0.904493833930435,2.07032539045016,0.000676716602025861
"51","4930544D05Rik",1.70886910058201,0.839045841209449,2.03668145010855,0.00517156395013043
"52","Ndnf",0.884327633914713,0.438796620686161,2.01534741204675,0.00997277232675227
"53","Gab2",1.02282292464672,0.507555694677753,2.01519347605017,0.0050107099388826
"54","Abhd14b",2.5264164450593,5.08542764927502,0.496795278450077,0.00339832268646153
"55","Gm17745",2.73736642876083,5.5451218573035,0.493653070068322,0.0011701154192936
"56","3830403N18Rik",1.53587812649191,3.12652191325512,0.491241759726822,0.003232190369106
"57","Xylt1",1.21840452272995,2.48442113699108,0.490417870218884,0.0012011352774984
"58","S100a6",328.074017637537,688.708939400718,0.476360910783315,0.0013579903675455
"59","Gm19627",1.4172261284451,2.98438984437698,0.474879691443583,0.000786406940811174
"60","Mst1",1.06079257176608,2.2339633447577,0.474847796520643,0.000769221311134552
"61","Gpr15",2.96505101882351,6.25969136877676,0.473673675608536,0.00954436241467086
"62","Gm5424",0.703807776551791,1.48657103184007,0.47344375847323,0.00361710124628019
"63","Scn2b",0.689808265011177,1.4596402548642,0.472587860407668,0.00161447471834048
"64","Gm17669",8.14642120173883,17.2654066861113,0.47183488636222,0.00282893150654394
"65","Hormad2",0.312863725123027,0.667381992377373,0.46879257860784,0.000331516013858083
"66","Crybb1",0.898061539667131,1.92143879623945,0.467390135675815,0.000313091095398324
"67","5830444B04Rik",1.54337802047857,3.31781298934654,0.465179329104546,0.00265611775629482
"68","Il7r",45.3721857355964,100.893423540738,0.449704095106621,0.000974814723689661
"69","Gm10451",1.4578976633836,3.27350934828644,0.445362303347859,0.000691266840591063
"70","Treml2",1.16139136411073,2.6349822938872,0.440758697621991,0.000463547790877723
"71","Gm5561",11.0057404708504,25.4120628397307,0.433091187451473,0.00704231869052603
"72","Fam234a",5.31968615818712,12.3136979215861,0.432013696621679,0.000462259744258643
"73","Ly6k",1.24605470391329,2.91912463224216,0.426859028268417,0.00135116002828514
"74","Nccrp1",0.85677223522181,2.01972706903429,0.424201986673114,0.00254928866842705
"75","Rasl11a",0.642232837151968,1.537574421424,0.417692196360275,0.00875441481858246
"76","Prss16",1.29335943470668,3.1055066132615,0.416472928823795,0.00819940506492875
"77","Ggt1",4.81074898693742,11.5532043156616,0.416399542109364,0.000290953629158803
"78","Ccr2",32.0752594810669,79.3405759558449,0.404273085929167,0.000525420758101236
"79","Serp2",2.48930427527412,6.2728812260307,0.396835869447711,0.00280425258823407
"80","Fut10",0.204847596886413,0.533685103329931,0.383836077882379,0.00588588752728012
"81","Trat1",2.65753124165617,7.09955841976639,0.374323455703547,0.000578420526669368
"82","Swap70",1.81627005974671,5.04233144616364,0.36020441717067,1.66478224038813e-05
"83","Lcn4",8.58866888980487,24.1044022896255,0.356311215959976,0.00112826752133196
"84","S100a4",196.828786852677,555.979850666373,0.354021439116484,0.000553680650064684
"85","Itgb3",2.05201664768405,5.84369457600365,0.351150564252688,0.000442390393037982
"86","Ass1",12.8735654280562,36.8316783837484,0.349524268047923,0.00380403271012496
"87","Cyp2s1",0.704025126353958,2.18509981450673,0.322193577464967,0.000673047431937166
"88","Klrb1c",1.27688699725071,4.28674271989466,0.29786882038073,0.00885532288552299
"89","1500009L16Rik",3.77110552527808,14.154452928266,0.266425381778429,0.00455433174805582
"90","1700021A07Rik",1.2219278683126,4.89029939314965,0.249867701356747,0.00959800083201936
"91","Wfikkn2",3.36483612955422,17.9558682434311,0.18739478837428,0.00233085148644143
"92","Cmtm7",17.3077670853034,107.695156372127,0.160710728953292,0.0013052953052194
"93","Il18r1",5.26148444028522,35.7824853452234,0.147040776780129,0.0017394424854586
"94","Map7",0.287110217700095,2.7283586128994,0.105231847581424,0.00355017423497168
